threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC
0.57,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105
0.65,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5383669944193463,0.5,0.09433962264150944,0.9823943661971831,0.15873015873015875,0.1126126126126126,0.16463076758517825
0.66,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5383669944193463,0.5,0.09433962264150944,0.9823943661971831,0.15873015873015875,0.1126126126126126,0.16463076758517825
0.67,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5383669944193463,0.5,0.09433962264150944,0.9823943661971831,0.15873015873015875,0.1126126126126126,0.16463076758517825
0.64,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5366064310390646,0.45454545454545453,0.09433962264150944,0.9788732394366197,0.15625,0.11210762331838565,0.14999588580535372
0.62,0.6722694658517141,0.299538205379524,0.8367952522255193,0.534845867658783,0.4166666666666667,0.09433962264150944,0.9753521126760564,0.15384615384615385,0.11160714285714288,0.1369134391973737
0.63,0.6722694658517141,0.299538205379524,0.8367952522255193,0.534845867658783,0.4166666666666667,0.09433962264150944,0.9753521126760564,0.15384615384615385,0.11160714285714288,0.1369134391973737
0.7,0.6722694658517141,0.299538205379524,0.8486646884272997,0.5342147222960404,0.6666666666666666,0.07547169811320754,0.9929577464788732,0.13559322033898305,0.09174311926605504,0.18838681244354682
0.69,0.6722694658517141,0.299538205379524,0.8456973293768546,0.5324541589157588,0.5714285714285714,0.07547169811320754,0.9894366197183099,0.13333333333333333,0.09132420091324199,0.1656881576748212
0.68,0.6722694658517141,0.299538205379524,0.8427299703264095,0.530693595535477,0.5,0.07547169811320754,0.9859154929577465,0.13114754098360656,0.0909090909090909,0.1468019836284572
0.73,0.6722694658517141,0.299538205379524,0.8456973293768546,0.5171073611480203,0.6666666666666666,0.03773584905660377,0.9964788732394366,0.07142857142857142,0.04651162790697674,0.13260999645630234
0.71,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785
0.72,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785
0.74,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5076733988838693,0.5,0.018867924528301886,0.9964788732394366,0.03636363636363636,0.023364485981308407,0.07274069960911343
0.75,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5076733988838693,0.5,0.018867924528301886,0.9964788732394366,0.03636363636363636,0.023364485981308407,0.07274069960911343
0.76,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5076733988838693,0.5,0.018867924528301886,0.9964788732394366,0.03636363636363636,0.023364485981308407,0.07274069960911343
0.77,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5076733988838693,0.5,0.018867924528301886,0.9964788732394366,0.03636363636363636,0.023364485981308407,0.07274069960911343
0.78,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5076733988838693,0.5,0.018867924528301886,0.9964788732394366,0.03636363636363636,0.023364485981308407,0.07274069960911343
0.8,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.81,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.82,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.83,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.84,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.85,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.86,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.87,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.88,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.89,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.9,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.91,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.92,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.93,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.94,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.95,0.6722694658517141,0.299538205379524,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.79,0.6722694658517141,0.299538205379524,0.8397626112759644,0.4982394366197183,0.0,0.0,0.9964788732394366,0.0,0.0,-0.02356726179052527
