trial,source,objective,xgb,lr,cat,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
60,bayes_ei,0.8041814556067297,0.554483659700967,0.445516340299033,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
28,bayes_ei,0.8041814556067296,0.5558102209593104,0.44418977904068957,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
32,bayes_ei,0.8041814556067296,0.5557734370581017,0.44422656294189833,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
33,bayes_ei,0.8041814556067296,0.555829420382999,0.444170579617001,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
37,bayes_ei,0.8041814556067296,0.5556516298529293,0.44434837014707074,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
43,bayes_ei,0.8041814556067296,0.5559199878384286,0.44408001216157145,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
50,bayes_ei,0.8041814556067296,0.5566025087543497,0.4433974912456503,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
56,bayes_ei,0.8041814556067296,0.5556079732438896,0.44439202675611045,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
59,bayes_ei,0.8041814556067296,0.5556929280361681,0.4443070719638319,0.0,0.6773850651076269,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
27,bayes_ei,0.8039644001845855,0.6974335688690461,0.30256643113095394,0.0,0.6774515014615998,0.29050735542793005,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.16
14,bayes_ei,0.8039580157312191,0.5472871172647438,0.45271288273525623,0.0,0.6771857560457082,0.28915049374482793,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
26,bayes_ei,0.8038638559034509,0.6309297641923687,0.3690702358076313,0.0,0.6777172468774914,0.2900515743191622,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.12
