dataset,y_true,xgb_mean_prob,lr_mean_prob,cat_mean_prob,bias,ensemble_prob,selected_threshold,y_pred_threshold_opt
train,0,0.2634499967098236,0.3568818621312992,0.0,0.09343186542147558,0.3101659294205614,0.16,1
train,1,0.25654336810112,0.28731881836948747,0.0,0.030775450268367477,0.27193109323530373,0.16,1
train,0,0.23698480427265167,0.3226865851899128,0.0,0.0857017809172611,0.2798356947312822,0.16,1
train,0,0.25271478295326233,0.21511916896437322,0.0,-0.03759561398888911,0.23391697595881777,0.16,1
train,0,0.25250735878944397,0.708945979847086,0.0,0.456438621057642,0.48072666931826497,0.16,1
train,0,0.25654336810112,0.34105402269053964,0.0,0.08451065458941964,0.2987986953958298,0.16,1
train,0,0.23281635344028473,0.2247761573317931,0.0,-0.008040196108491632,0.22879625538603893,0.16,1
train,0,0.2571200728416443,0.34741931896980066,0.0,0.09029924612815637,0.3022696959057225,0.16,1
train,0,0.14347858726978302,0.057161174940293234,0.0,-0.08631741232948978,0.10031988110503813,0.16,0
train,1,0.2634499967098236,0.3552311831676551,0.0,0.09178118645783151,0.30934058993873936,0.16,1
train,0,0.14347858726978302,0.3021214258197627,0.0,0.15864283854997968,0.22280000654477286,0.16,1
train,0,0.23698480427265167,0.307114834697196,0.0,0.07013003042454435,0.27204981948492385,0.16,1
train,0,0.25654336810112,0.27713058070578966,0.0,0.02058721260466967,0.26683697440345483,0.16,1
train,1,0.24655646085739136,0.6243343696332673,0.0,0.3777779087758759,0.4354454152453293,0.16,1
train,0,0.2634499967098236,0.33409560284241124,0.0,0.07064560613258763,0.2987727997761174,0.16,1
train,0,0.1392768919467926,0.07286045764742698,0.0,-0.06641643429936563,0.1060686747971098,0.16,0
train,0,0.2634499967098236,0.34759928533376266,0.0,0.08414928862393906,0.3055246410217931,0.16,1
train,0,0.1392768919467926,0.06813554690266097,0.0,-0.07114134504413164,0.10370621942472678,0.16,0
train,0,0.1392768919467926,0.0397657934541386,0.0,-0.099511098492654,0.0895213427004656,0.16,0
train,0,0.2519374489784241,0.305937918991528,0.0,0.05400047001310393,0.27893768398497604,0.16,1
train,0,0.25271478295326233,0.2644626646709117,0.0,0.011747881717649344,0.258588723812087,0.16,1
train,0,0.2571200728416443,0.3499018093769574,0.0,0.09278173653531313,0.3035109411093009,0.16,1
train,0,0.14101730287075043,0.04362648738140798,0.0,-0.09739081548934245,0.0923218951260792,0.16,0
train,0,0.1392768919467926,0.26072732726153053,0.0,0.12145043531473793,0.20000210960416157,0.16,1
train,0,0.2571200728416443,0.2899228732260174,0.0,0.03280280038437311,0.27352147303383084,0.16,1
train,0,0.25271478295326233,0.2785473035303599,0.0,0.025832520577097562,0.2656310432418111,0.16,1
train,0,0.2571200728416443,0.32862874894667077,0.0,0.07150867610502648,0.29287441089415756,0.16,1
train,0,0.2364388406276703,0.23897821684609272,0.0,0.002539376218422429,0.2377085287368815,0.16,1
train,0,0.14347858726978302,0.07427360841268173,0.0,-0.06920497885710129,0.10887609784123237,0.16,0
train,1,0.2634499967098236,0.34963808427403253,0.0,0.08618808756420893,0.30654404049192807,0.16,1
train,0,0.25250735878944397,0.32189241491009696,0.0,0.06938505612065299,0.2871998868497705,0.16,1
train,1,0.14347858726978302,0.07052247532357395,0.0,-0.07295611194620907,0.10700053129667848,0.16,0
train,0,0.1392768919467926,0.043494847953086904,0.0,-0.0957820439937057,0.09138586994993975,0.16,0
train,1,0.2634499967098236,0.3430884631768785,0.0,0.07963846646705491,0.30326922994335104,0.16,1
train,0,0.14101730287075043,0.041617285768305146,0.0,-0.09940001710244528,0.09131729431952779,0.16,0
train,0,0.25876328349113464,0.28765961514445,0.0,0.028896331653315344,0.2732114493177923,0.16,1
train,0,0.25876328349113464,0.28948734223651096,0.0,0.030724058745376315,0.2741253128638228,0.16,1
train,0,0.14101730287075043,0.04098726902898608,0.0,-0.10003003384176434,0.09100228594986826,0.16,0
train,0,0.23698480427265167,0.316339187539397,0.0,0.07935438326674532,0.27666199590602436,0.16,1
train,0,0.1392768919467926,0.04504849235651476,0.0,-0.09422839959027784,0.09216269215165368,0.16,0
train,0,0.14347858726978302,0.0631515429011518,0.0,-0.08032704436863122,0.10331506508546741,0.16,0
train,0,0.24655646085739136,0.25759384691518517,0.0,0.011037386057793808,0.25207515388628826,0.16,1
