trial,generation,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
43,3,85,bmi,numeric_gt,25.40281608,0.4182840263484311,0.3269597250211216,0.7917776945698852,0.6682168482593676,0.28099207814158655,0.5519287833827893,0.6650943396226415,0.23655913978494625,0.8301886792452831,0.5,0.3682008368200837,0.5527638190954774,0.24172097545305168,0.21
30,2,85,bmi,numeric_gt,25.40281608,0.3680839163920483,0.32617143139214244,0.7914744064246646,0.6676189210736114,0.2785391978815063,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.26
15,1,15,体重,numeric_gt,68.0,0.425795151910745,0.23685307432151148,0.7911541179998522,0.6698113207547169,0.27114547085178087,0.5667655786350149,0.6662237576401807,0.24022346368715083,0.8113207547169812,0.5211267605633803,0.3706896551724138,0.5498721227621484,0.24252981597128573,0.31
27,2,85,bmi,numeric_gt,25.40281608,0.4206332246035299,0.3661639060925077,0.7898407853277585,0.6659580122242891,0.27867563664358697,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.22
4,0,93,bmi,numeric_gt,26.89232314,0.13981148768820578,0.2934504008807699,0.7875797279336041,0.6680839755514217,0.26354298408333365,0.47181008902077154,0.6482527238905129,0.2171945701357466,0.9056603773584906,0.3908450704225352,0.3503649635036497,0.5542725173210162,0.2271980766682812,0.33
5,0,215,bmi,numeric_le,26.64359862,0.2747732398640692,0.4462824511168394,0.7855418778243359,0.6638320488971565,0.27561888665344153,0.543026706231454,0.6598126494817964,0.2328042328042328,0.8301886792452831,0.4894366197183099,0.3636363636363636,0.5486284289276808,0.23446417407446046,0.25
29,2,90,bmi,numeric_gt,26.70362358,0.47013472626470676,0.2696188875252548,0.7835716173818981,0.6634334307733191,0.27296744557442715,0.5489614243323442,0.6556603773584906,0.23243243243243245,0.8113207547169812,0.5,0.3613445378151261,0.5415617128463477,0.22777052418117494,0.26
6,0,84,bmi,numeric_gt,25.39343112,0.20004745298237434,0.40664279159471783,0.7791228358593867,0.6625033218176987,0.26716060148523524,0.4065281899109792,0.617193728408185,0.2,0.9245283018867925,0.30985915492957744,0.3288590604026846,0.5361050328227571,0.19153780924730734,0.23
49,4,155,体重,numeric_le,60.0,0.42662971837030833,0.26553260326881334,0.7639831182114445,0.6489503056072283,0.2448455469921431,0.5548961424332344,0.659181504119054,0.23497267759562843,0.8113207547169812,0.5070422535211268,0.364406779661017,0.5443037974683543,0.2326664691790443,0.27
1,0,170,体重,numeric_le,73.5,0.17693739587807655,0.4367029759281785,0.7576023095040147,0.6419744884400744,0.26229393287941555,0.5934718100890207,0.6513752325272388,0.24074074074074073,0.7358490566037735,0.5669014084507042,0.36279069767441857,0.5213903743315508,0.22059994109804407,0.49
12,0,168,体重,numeric_le,72.0,0.19450470073644063,0.45609096443764086,0.7462060692773893,0.6330055806537337,0.2595850364722606,0.5905044510385756,0.641941270263088,0.2360248447204969,0.7169811320754716,0.5669014084507042,0.35514018691588783,0.5093833780160858,0.20690287055189782,0.46
24,1,65,bmi,numeric_gt,22.65625,0.37222413126388704,0.12,0.7419965783032884,0.6271591815041191,0.26910552956318246,0.41839762611275966,0.6088891841615732,0.19831223628691982,0.8867924528301887,0.33098591549295775,0.32413793103448274,0.5233853006681514,0.17355521639435356,0.18
