trial,generation,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
7,0,2,体重,numeric_gt,65.0,0.1454925560126355,0.1943347439298751,0.8132955463894062,0.6860217911241031,0.2943951439010611,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.44
59,4,2,体重,numeric_gt,65.0,0.30123856358043666,0.38797899771786687,0.81319266171806,0.6858224820621844,0.2935803010219672,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.24
34,2,2,体重,numeric_gt,65.0,0.2989985335613777,0.3544091956495816,0.8131037945312227,0.6855567366462929,0.29446469216723836,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.24
41,3,2,体重,numeric_gt,65.0,0.29201230028427033,0.3807190869986225,0.8130498658692834,0.6862211001860218,0.29346235760567274,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.24
54,4,20,年龄,numeric_le,65.0,0.2775762093810197,0.37649501823808124,0.8127755910100899,0.685124900345469,0.29368100492070587,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.25
27,2,2,体重,numeric_gt,65.0,0.31465974332606444,0.369432511029501,0.8124495113539013,0.6854238639383471,0.29444676626713556,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.22
39,3,10,bmi,numeric_gt,21.09375,0.3593153650183678,0.31272662076934915,0.8122067449684834,0.6874169545575339,0.2832107231809879,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.25
10,0,10,bmi,numeric_gt,21.09375,0.49366013944892584,0.4429672272567454,0.8121390189018145,0.6877491363273983,0.28352478264991254,0.5014836795252225,0.6581849588094606,0.22488038277511962,0.8867924528301887,0.4295774647887324,0.3587786259541985,0.5581947743467933,0.23730897219508815,0.12
58,4,2,体重,numeric_gt,65.0,0.3621251162725493,0.4110798035331851,0.8119929625664885,0.6846930640446451,0.2945258601837626,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.19
12,0,1,体重,numeric_gt,61.0,0.4166630034278308,0.30326077816350766,0.8119156574441214,0.6807068828062716,0.30764060644601593,0.543026706231454,0.675159447249535,0.23834196891191708,0.8679245283018868,0.4823943661971831,0.37398373983739835,0.5679012345679012,0.2578105978371304,0.21
38,3,10,bmi,numeric_gt,21.09375,0.33732445787764653,0.305826373398473,0.8093898005603001,0.683630082381079,0.28164310791690184,0.5222551928783383,0.6705089024714324,0.23267326732673269,0.8867924528301887,0.45422535211267606,0.3686274509803922,0.567632850241546,0.253356231433721,0.21
13,1,10,bmi,numeric_gt,21.09375,0.3406303573207321,0.3307581333656096,0.8091152727709029,0.6830985915492959,0.2893451772342752,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.27
15,1,10,bmi,numeric_gt,21.09375,0.3245628662076447,0.2953597009631991,0.8085960102502104,0.6832979006112145,0.28177974351225343,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.3
24,1,2,体重,numeric_gt,65.0,0.3116128366835615,0.33167741250880883,0.8076704191497255,0.6806404464522987,0.29317623106167967,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.23
32,2,2,体重,numeric_gt,65.0,0.3351323938656175,0.2718335894927906,0.8062066976221375,0.6787802285410577,0.29375104452203343,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.29
18,1,2,体重,numeric_gt,65.0,0.37109851867865545,0.2957338124298624,0.8053478261526762,0.6781158650013289,0.2941026675697388,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.26
45,3,43,性别,categorical_ne,男,0.30151561735134713,0.35399988191082693,0.8053249366253795,0.6789131012490035,0.2900020386948818,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.27
3,0,15,甲状腺手术史,numeric_le,0.0,0.49601007408565445,0.3798331659661594,0.8052332944009993,0.6788466648950305,0.2899595151043901,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.12
36,2,2,体重,numeric_gt,65.0,0.3855707509521384,0.2871260633900405,0.8048687443303388,0.6782487377092745,0.2936755472430711,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.24
26,2,2,体重,numeric_gt,65.0,0.311348850350588,0.30767045071849647,0.8048423558936075,0.6783816104172202,0.2889224264985709,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.31
37,3,10,bmi,numeric_gt,21.09375,0.3885863112745326,0.3850760094547885,0.8046228433474756,0.6787802285410578,0.28847484515832894,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.23
31,2,15,甲状腺手术史,numeric_le,0.0,0.3746678057021358,0.28229061087234153,0.8042410948578509,0.6781823013553017,0.28961249670211076,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.18
50,4,2,体重,numeric_gt,65.0,0.2889427622987961,0.40878813474728143,0.8035521574064886,0.6814376826999734,0.2815537968842581,0.5519287833827893,0.6574209407387723,0.23369565217391305,0.8113207547169812,0.5035211267605634,0.3628691983122363,0.5429292929292929,0.23021572073468463,0.25
57,4,2,体重,numeric_gt,65.0,0.3603928466135235,0.316316767761917,0.8030860610798424,0.6771857560457083,0.2887632962969107,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.25
14,1,42,性别,categorical_eq,女,0.4152648665232901,0.39685082029531377,0.8021717251594638,0.676056338028169,0.2886033032310199,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.17
51,4,10,bmi,numeric_gt,21.09375,0.28815938352405873,0.3260945372076572,0.8017979888101937,0.6751926654265216,0.29105298449290673,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.25
44,3,10,bmi,numeric_gt,21.09375,0.3441458431122873,0.3721201580387813,0.8014280545371192,0.674794047302684,0.29248856536154033,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.2
35,2,10,bmi,numeric_gt,21.09375,0.2720133505153565,0.3188058774053417,0.8001741883473125,0.6739303747010366,0.29053759742074403,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.26
56,4,10,bmi,numeric_gt,21.09375,0.2852193449505527,0.3606400019342726,0.7987893484141972,0.6727345203295243,0.28959266961272956,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.25
