trial,source,objective,threshold_primary,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
12,initial,0.7717872414335366,0.23727118937578573,0.1444880287273821,0.6722076496042573,0.6738639383470635,0.28871608243842306,0.712166172106825,0.5760031889449907,0.23809523809523808,0.37735849056603776,0.7746478873239436,0.291970802919708,0.33783783783783783,0.1279260563000943,0.6722076496042573,20,64,220,33
50,bayes_ei,0.7708296966060011,0.20954706209454843,0.16422902044509735,0.6621525289262168,0.6743954291788467,0.2900918183210349,0.7774480712166172,0.5840419877757108,0.2962962962962963,0.3018867924528302,0.8661971830985915,0.29906542056074764,0.3007518796992481,0.16681431586045356,0.6621525289262168,16,38,246,37
2,initial,0.7706762655788273,0.18501729578922707,0.1918923099253788,0.6620741135551081,0.6793781557268137,0.29273695988397386,0.8397626112759644,0.5749734254584109,0.47619047619047616,0.18867924528301888,0.9612676056338029,0.2702702702702703,0.2145922746781116,0.22582980814815357,0.6620741135551081,10,11,273,43
27,bayes_ei,0.7704783281599115,0.17404086627378282,0.27659833928423394,0.5644458507569845,0.6763885197980336,0.2783695229946521,0.7774480712166172,0.5840419877757108,0.2962962962962963,0.3018867924528302,0.8661971830985915,0.29906542056074764,0.3007518796992481,0.16681431586045356,0.5644458507569845,16,38,246,37
4,initial,0.7689035324459187,0.225231345278391,0.24216197462218492,0.6453568283058053,0.6826335370714857,0.2944221567072789,0.8397626112759644,0.5596266276906724,0.47058823529411764,0.1509433962264151,0.9683098591549296,0.22857142857142856,0.17467248908296942,0.19836630249360432,0.6453568283058053,8,9,275,45
40,bayes_ei,0.7674550285582153,0.21829235180303558,0.16174150583816782,0.675964490216149,0.6742625564709007,0.2907128620384097,0.8071216617210683,0.57862742492692,0.34210526315789475,0.24528301886792453,0.9119718309859155,0.2857142857142857,0.26,0.18099799359265295,0.675964490216149,13,25,259,40
72,bayes_ei,0.7668725487028235,0.217388175253009,0.27768624683474485,0.652589926849614,0.686752591017805,0.29544098158887794,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105,0.652589926849614,6,8,276,47
36,bayes_ei,0.7662967337363203,0.29946493790465384,0.23958097477724577,0.5670622358525568,0.674129683762955,0.2894542497037468,0.8189910979228486,0.5779962795641775,0.375,0.22641509433962265,0.9295774647887324,0.2823529411764706,0.24590163934426232,0.19372072196379492,0.5670622358525568,12,20,264,41
81,bayes_ei,0.7644888146728317,0.3235541235778332,0.1775181102205649,0.6431096984294126,0.6715386659580121,0.28071073194798485,0.7833827893175074,0.579889715652405,0.3,0.2830188679245283,0.8767605633802817,0.2912621359223301,0.28625954198473286,0.16364096253498867,0.6431096984294126,15,35,249,38
79,bayes_ei,0.7629350843069456,0.2878430168483287,0.19913396440019093,0.6563982191935541,0.6749269200106299,0.2895263061675477,0.8397626112759644,0.5673000265745416,0.47368421052631576,0.16981132075471697,0.9647887323943662,0.25,0.1948051948051948,0.21244767164573314,0.6563982191935541,9,10,274,44
23,bayes_ei,0.7601356281519672,0.4031490848206227,0.1621114612419226,0.5614711007560688,0.6507440871644965,0.2702527497612592,0.6350148367952523,0.6223093276640979,0.23880597014925373,0.6037735849056604,0.6408450704225352,0.3422459893048128,0.4624277456647398,0.18196432937489734,0.5614711007560688,32,102,182,21
69,bayes_ei,0.7596960803476386,0.26483055576640624,0.23771210857859904,0.6680624443616018,0.6737975019930906,0.2856491553895759,0.8456973293768546,0.5631477544512358,0.5333333333333333,0.1509433962264151,0.9753521126760564,0.23529411764705882,0.17621145374449337,0.2229520380436692,0.6680624443616018,8,7,277,45
52,bayes_ei,0.756238877572741,0.28568501098043014,0.34945690075744407,0.6550394394780952,0.6872840818495881,0.29583099470797164,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.6550394394780952,2,2,282,51
35,bayes_ei,0.7555339357381451,0.35152559355571195,0.23966631807291772,0.6706503652943175,0.6743954291788467,0.2894615160482226,0.8456973293768546,0.5478009566834973,0.5454545454545454,0.11320754716981132,0.9823943661971831,0.1875,0.13452914798206278,0.19586577102895103,0.6706503652943175,6,5,279,47
26,bayes_ei,0.7554177345892793,0.3639114826640459,0.22384081217625618,0.6251330957271378,0.6734653202232261,0.2868125135392616,0.8397626112759644,0.5519532288068031,0.4666666666666667,0.1320754716981132,0.971830985915493,0.20588235294117646,0.15418502202643175,0.1834281891111513,0.6251330957271378,7,8,276,46
1,initial,0.75527320246532,0.3843660899133217,0.23792115266476965,0.5975281487255727,0.6733988838692534,0.2864220346893293,0.8397626112759644,0.5519532288068031,0.4666666666666667,0.1320754716981132,0.971830985915493,0.20588235294117646,0.15418502202643175,0.1834281891111513,0.5975281487255727,7,8,276,46
63,bayes_ei,0.7550316140105193,0.3517323798988113,0.13873285192678056,0.6557828408250965,0.6522056869519002,0.27078029068981063,0.658753709198813,0.598026840287005,0.23275862068965517,0.5094339622641509,0.6866197183098591,0.31952662721893493,0.4115853658536585,0.1502266467058252,0.6557828408250965,27,89,195,26
61,bayes_ei,0.754966169820334,0.2916122660812237,0.33733573539928585,0.6454411866471151,0.6860882274780762,0.29544672780349684,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.6454411866471151,2,2,282,51
38,bayes_ei,0.7548953815564544,0.30421508183871515,0.3437430656142383,0.6381877293963091,0.6860882274780761,0.2950927864840991,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.6381877293963091,2,2,282,51
3,initial,0.7548876567901268,0.3994275519982184,0.2512969842910451,0.5726713642186887,0.6735317565771991,0.28706208926053545,0.8367952522255193,0.5501926654265215,0.4375,0.1320754716981132,0.9683098591549296,0.2028985507246377,0.15350877192982457,0.17185210335676435,0.5726713642186887,7,9,275,46
42,bayes_ei,0.7548035911232784,0.275246612147962,0.35081272743666525,0.6744342079420438,0.6859553547701301,0.2952981978579491,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.6744342079420438,2,2,282,51
53,bayes_ei,0.7539294941567731,0.43207522689858974,0.27573472846600733,0.6189518286332809,0.6733988838692534,0.2864220346893293,0.8456973293768546,0.5478009566834973,0.5454545454545454,0.11320754716981132,0.9823943661971831,0.1875,0.13452914798206278,0.19586577102895103,0.6189518286332809,6,5,279,47
65,bayes_ei,0.7536663579698291,0.4425012484107679,0.28876264959832093,0.5712319006984631,0.673598192931172,0.28815203358587343,0.8427299703264095,0.5460403933032155,0.5,0.11320754716981132,0.9788732394366197,0.18461538461538463,0.13392857142857142,0.1808980235725071,0.5712319006984631,6,6,278,47
9,initial,0.752502805260025,0.2602613671877071,0.3618504727981898,0.6979003563949605,0.6853574275843742,0.2867839044704614,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.6979003563949605,2,2,282,51
70,bayes_ei,0.7521586675647345,0.31622333282560583,0.16282313387054004,0.6760652716009063,0.6691469572149881,0.2780713743068024,0.8071216617210683,0.5556072282753123,0.3125,0.18867924528301888,0.9225352112676056,0.23529411764705882,0.20491803278688525,0.1381126441939492,0.6760652716009063,10,22,262,43
14,bayes_ei,0.7518825053077343,0.38889756363035877,0.22869515010409774,0.6888952276249635,0.6722694658517141,0.28183418053183157,0.8456973293768546,0.5478009566834973,0.5454545454545454,0.11320754716981132,0.9823943661971831,0.1875,0.13452914798206278,0.19586577102895103,0.6888952276249635,6,5,279,47
76,bayes_ei,0.7518325907941826,0.41655289339408835,0.26585053579215834,0.5804625344109545,0.6733988838692534,0.28700972778843137,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105,0.5804625344109545,6,8,276,47
48,bayes_ei,0.7518237955221578,0.3641198700701979,0.28161251311316554,0.6309236471960902,0.6741961201169279,0.290674378823549,0.8427299703264095,0.5383669944193463,0.5,0.09433962264150944,0.9823943661971831,0.15873015873015872,0.1126126126126126,0.16463076758517825,0.6309236471960902,5,5,279,48
32,bayes_ei,0.7511644359517656,0.21312074348130874,0.3474379421825235,0.5694527734377688,0.6715386659580123,0.2704756183279053,0.7922848664688428,0.5468044113739038,0.2702702702702703,0.18867924528301888,0.9049295774647887,0.2222222222222222,0.20080321285140562,0.10900650086063382,0.5694527734377688,10,27,257,43
33,bayes_ei,0.7509018598578316,0.36028695440980824,0.4195073723703342,0.6048282635005203,0.6870183364336965,0.2963311764695519,0.8397626112759644,0.5059128355035876,0.3333333333333333,0.018867924528301886,0.9929577464788732,0.03571428571428571,0.02325581395348837,0.04583413469751809,0.6048282635005203,1,2,282,52
74,bayes_ei,0.7486540186345351,0.4171504880289382,0.19727929423458868,0.5883948552860983,0.6593143768269997,0.2731174602020522,0.7210682492581603,0.558264682434228,0.22666666666666666,0.32075471698113206,0.795774647887324,0.265625,0.29616724738675954,0.10198850056898082,0.5883948552860983,17,58,226,36
41,bayes_ei,0.7486409563260851,0.2718783263933498,0.365649634295931,0.6945252158803344,0.6858889184161573,0.29067374889851505,0.8397626112759644,0.5059128355035876,0.3333333333333333,0.018867924528301886,0.9929577464788732,0.03571428571428571,0.02325581395348837,0.04583413469751809,0.6945252158803344,1,2,282,52
77,bayes_ei,0.747188231850829,0.3663299974802292,0.24409521100770104,0.6820195590431044,0.6738639383470636,0.2887060778977037,0.8397626112759644,0.5289330321551954,0.4444444444444444,0.07547169811320754,0.9823943661971831,0.12903225806451613,0.0904977375565611,0.13066608337137292,0.6820195590431044,4,5,279,49
6,initial,0.74688205149338,0.4418476209565606,0.17302347354231556,0.5871470091433101,0.6463592878022854,0.2687169421051257,0.6379821958456974,0.5857028966250333,0.21951219512195122,0.5094339622641509,0.6619718309859155,0.3068181818181818,0.40298507462686567,0.12961735614765887,0.5871470091433101,27,96,188,26
25,bayes_ei,0.7462484426150158,0.40404046283564976,0.2996745523303693,0.6513838959545202,0.6749269200106297,0.29051654984488384,0.8427299703264095,0.5230201966516078,0.5,0.05660377358490566,0.9894366197183099,0.1016949152542373,0.06880733944954127,0.12674957380910482,0.6513838959545202,3,3,281,50
49,bayes_ei,0.7461698658916407,0.3624759816156404,0.18825462454002231,0.6980509093512716,0.6682832846133404,0.27724411478408917,0.8427299703264095,0.5460403933032155,0.5,0.11320754716981132,0.9788732394366197,0.18461538461538463,0.13392857142857142,0.1808980235725071,0.6980509093512716,6,6,278,47
28,bayes_ei,0.7459162891967204,0.32548657558435734,0.3775560481371274,0.675729057771641,0.686686154663832,0.296150672664442,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.675729057771641,0,0,284,53
21,bayes_ei,0.7451571556583203,0.24967270144336506,0.3656244670327097,0.6891386577893259,0.6793781557268137,0.2799520157497406,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.6891386577893259,2,2,282,51
7,initial,0.7451201448121586,0.3646362059491464,0.4081121999860895,0.6947301235955766,0.686088227478076,0.2951595866704131,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6947301235955766,0,0,284,53
60,bayes_ei,0.7450740396884119,0.15636388291142855,0.30703953933966643,0.575011457959965,0.6549960138187616,0.25654545754384045,0.7804154302670623,0.5858025511559926,0.3018867924528302,0.3018867924528302,0.8697183098591549,0.3018867924528302,0.3018867924528302,0.1716051023119851,0.575011457959965,16,37,247,37
83,bayes_ei,0.7446311209008274,0.3750315302726732,0.41170454027260206,0.6130434585349132,0.6854903002923199,0.2957041030425373,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6130434585349132,0,0,284,53
51,bayes_ei,0.7445144444166455,0.16051558298861837,0.2802682852247306,0.6648871564857987,0.6700106298166356,0.26639065340825085,0.8011869436201781,0.5367393037470104,0.26666666666666666,0.1509433962264151,0.9225352112676056,0.1927710843373494,0.1652892561983471,0.09393516597049904,0.6648871564857987,8,22,262,45
44,bayes_ei,0.7415670843463394,0.3650890091074913,0.14066970617309768,0.696270920366221,0.6504783417486049,0.2701642577846215,0.7655786350148368,0.5769997342545841,0.27586206896551724,0.3018867924528302,0.852112676056338,0.2882882882882883,0.2962962962962963,0.148525228223612,0.696270920366221,16,42,242,37
64,bayes_ei,0.7397587573384097,0.4011540058887852,0.4171196990693241,0.6183426511771158,0.681039064576136,0.2935984638113681,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6183426511771158,0,0,284,53
47,bayes_ei,0.7391589446175917,0.41839783947698184,0.43288858807925057,0.6732987010100485,0.6805075737443529,0.293256854366194,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6732987010100485,0,0,284,53
66,bayes_ei,0.7369145593719443,0.4471622914174191,0.3276269158671137,0.6277156424648678,0.6752591017804944,0.2897240916538344,0.8367952522255193,0.5041522721233059,0.25,0.018867924528301886,0.9894366197183099,0.03508771929824561,0.023148148148148147,0.027916488917364313,0.6277156424648678,1,3,281,52
30,bayes_ei,0.7362466381284898,0.3712791495504765,0.31078817555414845,0.6471037855066764,0.6740632474089823,0.2878305129464137,0.8397626112759644,0.5059128355035876,0.3333333333333333,0.018867924528301886,0.9929577464788732,0.03571428571428571,0.02325581395348837,0.04583413469751809,0.6471037855066764,1,2,282,52
22,bayes_ei,0.7356036029835631,0.3761485081766669,0.371202771931384,0.6327655201083557,0.67791655593941,0.2884352352207652,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6327655201083557,0,0,284,53
