dataset,feature,mean,std,median,q1,q3,min,max,positive_mean,negative_mean
train,bmi,24.018785308338277,3.21736788286914,23.87511478,21.79930796,26.14268848,15.94387755,34.01360544,24.60601743924528,23.909196213485917
tuning,右肺上叶,0.5727002967359051,0.4954220264737812,1.0,0.0,1.0,0.0,1.0,0.5849056603773585,0.5704225352112676
tuning,右肺中叶,0.14540059347181009,0.35302844094873526,0.0,0.0,0.0,0.0,1.0,0.1509433962264151,0.1443661971830986
tuning,右肺下叶,0.3590504451038576,0.4804353684743165,0.0,0.0,1.0,0.0,1.0,0.41509433962264153,0.3485915492957746
tuning,左肺上叶,0.020771513353115726,0.14283064612263746,0.0,0.0,0.0,0.0,1.0,0.03773584905660377,0.017605633802816902
tuning,左肺下叶,0.026706231454005934,0.16146321191014112,0.0,0.0,0.0,0.0,1.0,0.018867924528301886,0.028169014084507043
tuning,纵隔肿物,0.06231454005934718,0.2420854007293518,0.0,0.0,0.0,0.0,1.0,0.05660377358490566,0.06338028169014084
tuning,高血压,0.28486646884273,0.4520219751792324,0.0,0.0,1.0,0.0,1.0,0.3018867924528302,0.28169014084507044
tuning,糖尿病,0.1572700296735905,0.3645965171519667,0.0,0.0,0.0,0.0,1.0,0.09433962264150944,0.16901408450704225
tuning,冠心病,0.04154302670623145,0.19983920341257796,0.0,0.0,0.0,0.0,1.0,0.018867924528301886,0.045774647887323945
tuning,结核病史,0.04451038575667656,0.206532773065556,0.0,0.0,0.0,0.0,1.0,0.05660377358490566,0.04225352112676056
tuning,甲状腺疾病,0.017804154302670624,0.13243568828042304,0.0,0.0,0.0,0.0,1.0,0.0,0.02112676056338028
tuning,甲状腺手术史,0.05637982195845697,0.2309966977113301,0.0,0.0,0.0,0.0,1.0,0.16981132075471697,0.035211267605633804
tuning,肺部手术史,0.03560830860534125,0.1855870696114142,0.0,0.0,0.0,0.0,1.0,0.03773584905660377,0.035211267605633804
tuning,放化疗史,0.017804154302670624,0.13243568828042313,0.0,0.0,0.0,0.0,1.0,0.0,0.02112676056338028
tuning,胸部外伤史,0.017804154302670624,0.13243568828042313,0.0,0.0,0.0,0.0,1.0,0.03773584905660377,0.014084507042253521
tuning,性别,0.47774480712166173,0.5002472188037329,0.0,0.0,1.0,0.0,1.0,0.18867924528301888,0.5316901408450704
tuning,年龄,59.46587537091988,10.023166256520442,60.0,53.0,67.0,19.0,84.0,58.58490566037736,59.63028169014085
tuning,身高,166.27893175074183,7.690783835104482,165.0,160.0,172.0,141.0,190.0,162.56603773584905,166.9718309859155
tuning,体重,67.15281899109792,12.100260699419831,65.0,60.0,75.0,39.0,124.0,64.66981132075472,67.61619718309859
tuning,bmi,24.21148839851632,3.4925288714410097,23.87543253,21.8299522,26.34649403,16.02564103,39.18367347,24.314811753207547,24.192206223169013
validation,右肺上叶,0.49411764705882355,0.5029325764658605,0.0,0.0,1.0,0.0,1.0,0.38461538461538464,0.5138888888888888
validation,右肺中叶,0.23529411764705882,0.42669992867547213,0.0,0.0,0.0,0.0,1.0,0.23076923076923078,0.2361111111111111
validation,右肺下叶,0.3411764705882353,0.47691821142849705,0.0,0.0,1.0,0.0,1.0,0.23076923076923078,0.3611111111111111
validation,左肺上叶,0.011764705882352941,0.10846522890932811,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.0
validation,左肺下叶,0.03529411764705882,0.18561729852738687,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.027777777777777776
validation,纵隔肿物,0.058823529411764705,0.23669053416557542,0.0,0.0,0.0,0.0,1.0,0.15384615384615385,0.041666666666666664
validation,高血压,0.2,0.4023739080814779,0.0,0.0,0.0,0.0,1.0,0.15384615384615385,0.20833333333333334
validation,糖尿病,0.10588235294117647,0.3095130357961214,0.0,0.0,0.0,0.0,1.0,0.0,0.125
