trial,source,objective,primary_index,aux_index,threshold_primary_aux,threshold_primary_base,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
20,bayes_ei,0.7809727507603758,32,38,0.449998779188247,0.2268447133603308,0.3134378086748215,0.6816117880204327,0.7003720435822481,0.3349239878119531,0.8486646884272997,0.5188679245283019,1.0,0.03773584905660377,1.0,0.07272727272727272,0.046728971962616814,0.17886024838950837,0.6816117880204327,2,0,284,51
3,initial,0.7751366504734237,33,4,0.22826307290283845,0.12293397882771892,0.15404081763179212,0.6181100678649025,0.6638984852511294,0.26872635565125025,0.5845697329376854,0.6230733457347861,0.22641509433962265,0.6792452830188679,0.5669014084507042,0.33962264150943394,0.48517520215633414,0.17950747752821813,0.6181100678649025,36,123,161,17
6,initial,0.7749269407838802,61,4,0.30490279283297106,0.36053230281651044,0.26487202822659084,0.6886629942594045,0.7001727345203297,0.3248280474099604,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.6886629942594045,2,2,282,51
79,bayes_ei,0.7744330642281363,9,37,0.4204749692159411,0.31604677430608175,0.2616832617151702,0.6362087462691024,0.6871512091416422,0.2925655390493067,0.8456973293768546,0.5631477544512358,0.5333333333333333,0.1509433962264151,0.9753521126760564,0.23529411764705882,0.17621145374449337,0.2229520380436692,0.6362087462691024,8,7,277,45
10,initial,0.7739448917686541,82,33,0.2934168771714882,0.12138595017281727,0.20052744163062164,0.5829171019817585,0.6690805208610152,0.30460601139227556,0.7091988130563798,0.5895894233324475,0.24719101123595505,0.41509433962264153,0.7640845070422535,0.30985915492957744,0.36544850498338866,0.14796636261689902,0.5829171019817585,22,67,217,31
80,bayes_ei,0.7691537171824534,109,38,0.12765027227746914,0.353860566349974,0.13677711423466093,0.6306402955239367,0.6539330321551954,0.2683573153703228,0.6112759643916914,0.6465918150411905,0.24342105263157895,0.6981132075471698,0.5950704225352113,0.36097560975609755,0.5082417582417582,0.21450092258035106,0.6306402955239367,37,115,169,16
17,bayes_ei,0.7660793674322336,76,29,0.36591042557552195,0.2735788999559761,0.29156511601946666,0.5930387226098128,0.6801089556205155,0.2929242388937041,0.8397626112759644,0.5596266276906724,0.47058823529411764,0.1509433962264151,0.9683098591549296,0.22857142857142856,0.17467248908296942,0.19836630249360432,0.5930387226098128,8,9,275,45
4,initial,0.7655807022904415,77,26,0.3133524488252811,0.37269449633131185,0.4170815992946842,0.575647785613375,0.6959208078660643,0.29935648821409355,0.8427299703264095,0.5153467977677385,0.5,0.03773584905660377,0.9929577464788732,0.07017543859649122,0.046296296296296294,0.1031793430385785,0.575647785613375,2,2,282,51
21,bayes_ei,0.7653445915687932,108,37,0.39191345807473,0.23350447252562967,0.2733251434615777,0.5667416870688738,0.6858224820621844,0.27593649909388956,0.8041543026706232,0.5461732660111613,0.2903225806451613,0.16981132075471697,0.9225352112676056,0.21428571428571427,0.18518518518518517,0.11632582338624706,0.5667416870688738,9,22,262,44
14,bayes_ei,0.7649040365202909,15,28,0.2954599066117335,0.23740954648434015,0.2237497335006947,0.6503015407043813,0.6795774647887323,0.2863684434361203,0.8427299703264095,0.561387191070954,0.5,0.1509433962264151,0.971830985915493,0.2318840579710145,0.17543859649122806,0.21018046790423592,0.6503015407043813,8,8,276,45
73,bayes_ei,0.7622450883273231,69,18,0.24096308623814794,0.2289682280186604,0.3283414480767972,0.6278734360160194,0.6858224820621844,0.2885602482151617,0.8397626112759644,0.5366064310390646,0.45454545454545453,0.09433962264150944,0.9788732394366197,0.15625,0.11210762331838565,0.14999588580535372,0.6278734360160194,5,6,278,48
60,bayes_ei,0.7620844996571385,70,26,0.28242227388274,0.27554543913300467,0.335768648366224,0.6890948441919161,0.6963194259899018,0.2989579504432508,0.8427299703264095,0.5076733988838693,0.5,0.018867924528301886,0.9964788732394366,0.03636363636363636,0.023364485981308407,0.07274069960911343,0.6890948441919161,1,1,283,52
77,bayes_ei,0.7617348516992093,75,22,0.1788131900235783,0.3147491400856629,0.19389609727090745,0.5775391333980224,0.6702763752325273,0.2779645047198291,0.7329376854599406,0.5653069359553548,0.23943661971830985,0.32075471698113206,0.8098591549295775,0.27419354838709675,0.30035335689045933,0.11660479667340608,0.5775391333980224,17,54,230,36
2,initial,0.7600469738810294,43,3,0.22390495409716557,0.2049585433954279,0.3201963346421599,0.5739555416868302,0.6743954291788468,0.28441398712774923,0.8456973293768546,0.5631477544512358,0.5333333333333333,0.1509433962264151,0.9753521126760564,0.23529411764705882,0.17621145374449337,0.2229520380436692,0.5739555416868302,8,7,277,45
18,bayes_ei,0.7577725086543905,106,8,0.41988109536167206,0.1944633967728211,0.3041727156514308,0.5923885116784608,0.6718044113739038,0.2892798310422974,0.7922848664688428,0.5544778102577731,0.28205128205128205,0.20754716981132076,0.9014084507042254,0.2391304347826087,0.21912350597609562,0.12399560948835324,0.5923885116784608,11,28,256,42
