id,y_true,0,1,2,cluster,pca_1,pca_2
381,0,0.24934772157118684,0.41057597855721856,1.0,1,0.43611530709450747,0.7013538203675268
607,1,0.2162320004542081,0.510187756691786,0.0,2,1.510697759011045,-1.6846904434350203
79,0,0.09681541090749482,0.18353008627752262,1.0,0,-1.7102314190211694,-0.0693058146879372
76,0,0.09376282657165555,0.17828308948256508,1.0,0,-1.7565613896114542,-0.08492012721784828
678,0,0.28950410663924786,0.46075976853241196,1.0,1,0.9551378008322383,0.9016322410064423
761,0,0.10231876222794742,0.1929098076000317,1.0,0,-1.6270886519433576,-0.041177272546700526
233,0,0.10955988732441552,0.2050972994139606,1.0,0,-1.5184316306523231,-0.004208589464604585
555,0,0.2921092762591351,0.4638998113241875,1.0,1,0.9882544543628217,0.9145939545385211
171,0,0.09652152148997975,0.18302631084773335,1.0,0,-1.7146852288812213,-0.07080871601957331
30,0,0.0958763149609303,0.2858982709969108,0.0,3,-0.39957218436923336,-2.3050612967981676
200,0,0.27025664194915877,0.437131599358441,1.0,1,0.7084066760769206,0.8057520410787786
633,0,0.09714805948360908,0.1840999471910476,1.0,0,-1.705191925469767,-0.06760480186569542
279,1,0.2871682020015789,0.457932668981939,1.0,1,0.9253883048257713,0.8900070660013214
93,1,0.27275191297531487,0.5860870856923058,0.0,2,2.266498870760007,-1.4013667976403221
125,0,0.2120283008290291,0.5039437690952614,0.0,2,1.4516093872575915,-1.7059257555689347
424,0,0.28779044302581847,0.4586868311011535,1.0,1,0.9333181760963188,0.8931040865560423
337,1,0.25765886230588864,0.42124537169064763,1.0,1,0.5448950843782081,0.7428822829175034
447,0,0.10800786659181404,0.20249967877771075,1.0,0,-1.5416505740422455,-0.012128276673826844
771,0,0.3003249539345446,0.47371385067319505,1.0,1,1.0922668627206997,0.9554460308549727
285,0,0.28530576577251615,0.6011417033554693,0.0,2,2.42571400052348,-1.3389274541621596
354,1,0.2526275220163584,0.414804605297201,1.0,1,0.4791300962900152,0.7177470234129247
438,0,0.10821475165592827,0.2028463995146121,1.0,0,-1.538553285806329,-0.011072454524747777
578,0,0.27632563706725266,0.4446645449047957,1.0,1,0.7866012395006674,0.8360068991417141
328,0,0.2539978029848575,0.4165642519278339,1.0,1,0.4970675813411651,0.7245940876717334
492,0,0.10246045651011003,0.19314996202194032,1.0,0,-1.6249544367017457,-0.040453415339866704
255,1,0.276352911224749,0.5904661392136239,0.0,2,2.312460307521375,-1.3834399196667488
487,0,0.1325617985895712,0.2426903224694281,1.0,0,-1.1786586000448835,0.11291976913978904
721,0,0.10088166847477333,0.2975590594036297,0.0,3,-0.3089278551397451,-2.278626526601309
819,0,0.10688536277670782,0.2006160079297835,1.0,0,-1.5584674315415097,-0.017857557411608847
696,0,0.2727197267433625,0.5860477204477381,0.0,2,2.2660869825022254,-1.4015270917346796
451,0,0.2665032908239132,0.4324340300258692,1.0,1,0.6598610234164869,0.7870304499139865
347,0,0.11183980993449005,0.20889892326038226,1.0,0,-1.4843915309963343,0.007421564760090681
661,0,0.16123373230775848,0.28729301858954964,1.0,0,-0.7659661844614739,0.25830641197124693
