variant,stage,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn,is_terminal_output
no_round8,round9,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.3,1,6,13,1,1
no_round9_seed,round9,train,0.7475086367260165,0.36825696559377397,0.5222551928783383,0.6781823013553017,0.23529411764705882,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.3,48,156,128,5,1
no_round9_seed,round9,tuning,0.6973159712994951,0.30150110655736406,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.37815126050420167,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8,1
no_round9_seed,round9,validation,0.7473290598290598,0.35362027810243696,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
no_round9_seed,round9,test,0.7761752136752137,0.33232828958400956,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
no_round9_seed,round9,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.3,1,6,13,1,1
no_local_rules,round8,train,0.788499867127292,0.43426588493523566,0.5370919881305638,0.68698511825671,0.24120603015075376,0.9056603773584906,0.46830985915492956,0.38095238095238093,0.583941605839416,0.27686500301311884,0.17,48,151,133,5,1
no_local_rules,round8,tuning,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.3776824034334764,0.5612244897959183,0.2563942391390683,0.17,44,136,148,9,1
no_local_rules,round8,validation,0.7857905982905984,0.41358033307002995,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1,1
no_local_rules,round8,test,0.6736111111111112,0.22449408178595515,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1,1
no_local_rules,round8,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.17,1,6,13,1,1
no_aux_rule,primary_only,train,0.7914230667020994,0.43933938118001764,0.5370919881305638,0.68698511825671,0.24120603015075376,0.9056603773584906,0.46830985915492956,0.38095238095238093,0.583941605839416,0.27686500301311884,0.5912346137757031,48,151,133,5,1
no_aux_rule,primary_only,tuning,0.6785144831251662,0.29246621083796587,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.37606837606837606,0.5597964376590332,0.2539323282153957,0.5912346137757031,44,137,147,9,1
no_aux_rule,primary_only,validation,0.7868589743589745,0.4209307689370898,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.5912346137757031,12,35,37,1,1
no_aux_rule,primary_only,test,0.6736111111111112,0.22224766468872026,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.5912346137757031,12,34,38,1,1
