variant,stage,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn,is_terminal_output
without_catboost,error_pattern_correction,train,0.7475086367260165,0.3682569655937739,0.5222551928783383,0.6781823013553017,0.2352941176470588,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.3,48,156,128,5,1
without_catboost,error_pattern_correction,tuning,0.6973159712994951,0.301501106557364,0.5608308605341247,0.6780494286473558,0.2432432432432432,0.8490566037735849,0.5070422535211268,0.3781512605042016,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8,1
without_catboost,error_pattern_correction,validation,0.7473290598290598,0.3536202781024369,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
without_catboost,error_pattern_correction,test,0.7761752136752137,0.3323282895840095,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
without_catboost,error_pattern_correction,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.1428571428571428,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.1147078669352808,0.3,1,6,13,1,1
equal_family_weights,error_pattern_correction,train,0.7485051820356099,0.3736814901252994,0.5222551928783383,0.6781823013553017,0.2352941176470588,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.29,48,156,128,5,1
equal_family_weights,error_pattern_correction,tuning,0.695455753388254,0.3004878193703501,0.5578635014836796,0.6762888652670742,0.2419354838709677,0.8490566037735849,0.5035211267605634,0.3765690376569037,0.5653266331658291,0.2581113112131479,0.29,45,141,143,8,1
equal_family_weights,error_pattern_correction,validation,0.7483974358974359,0.3554510926912252,0.5529411764705883,0.7045940170940171,0.2448979591836734,0.9230769230769232,0.4861111111111111,0.3870967741935484,0.5940594059405941,0.2980653958647796,0.29,12,37,35,1,1
equal_family_weights,error_pattern_correction,test,0.7719017094017094,0.3188547172162064,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.29,12,36,36,1,1
equal_family_weights,error_pattern_correction,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.1428571428571428,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.1147078669352808,0.29,1,6,13,1,1
